PDB,SET,pK
10gs,Train,6.4
11gs,Train,5.82
13gs,Train,4.62
16pk,Train,5.22
184l,Train,4.72
185l,Train,3.54
186l,Train,4.85
187l,Train,3.37
188l,Train,3.33
1a07,Train,6.4
1a08,Train,5.62
1a0q,Train,7.57
1a1b,Train,6.4
1a1c,Train,6.4
1a1e,Train,6.0
1a28,Train,8.29
1a30,Test,4.3
1a3e,Train,8.46
1a42,Train,9.89
1a4h,Train,5.92
1a4k,Train,8.0
1a4r,Train,6.66
1a4w,Train,5.92
1a50,Train,6.7
1a52,Train,9.86
1a5h,Train,6.3
1a69,Train,5.3
1a8i,Train,5.52
1a8t,Train,5.8
1a94,Train,7.85
1a99,Train,5.7
1a9m,Train,6.92
1a9q,Train,6.17
1aaq,Train,8.4
1abf,Train,5.42
1add,Train,6.74
1adl,Train,5.36
1ado,Train,6.0
1af2,Train,3.1
1afk,Train,6.62
1afl,Train,6.28
1ag9,Train,9.0
1agm,Train,12.0
1ahx,Train,3.92
1ahy,Train,3.36
1ai4,Train,2.5
1ai5,Train,3.72
1ai6,Train,3.97
1ai7,Train,4.09
1aid,Train,4.82
1aj6,Train,5.92
1aj7,Train,3.87
1ajn,Train,2.63
1ajp,Train,2.23
1ajq,Train,4.31
1ajv,Train,7.72
1ajx,Train,7.91
1akq,Train,9.1
1akr,Train,9.09
1akt,Train,8.49
1aku,Train,6.13
1akv,Train,11.59
1akw,Train,8.59
1al7,Train,7.8
1al8,Train,5.32
1alw,Train,6.52
1amk,Train,4.3
1amw,Train,4.54
1anf,Train,5.46
1ao0,Train,4.96
1apb,Train,5.82
1apv,Train,9.0
1apw,Train,8.0
1aqc,Train,5.34
1aqi,Train,5.62
1aqj,Train,6.47
1at5,Train,4.19
1at6,Train,4.07
1atl,Train,6.28
1atr,Train,6.96
1avn,Train,3.9
1avp,Train,7.92
1awi,Train,4.05
1ax0,Train,3.13
1ax1,Train,3.29
1ax2,Train,3.99
1axr,Train,3.27
1axs,Train,7.77
1axz,Train,3.2
1azl,Train,8.62
1azm,Train,6.1
1azx,Train,9.4
1b05,Train,7.12
1b0h,Train,6.7
1b11,Train,7.39
1b1h,Train,7.03
1b2h,Train,4.54
1b32,Train,7.1
1b38,Train,6.6
1b39,Train,6.92
1b3f,Train,6.89
1b3g,Train,6.7
1b3h,Train,6.21
1b3l,Train,5.89
1b40,Train,7.28
1b42,Train,4.01
1b46,Train,5.28
1b4d,Train,4.81
1b4h,Train,5.46
1b4z,Train,5.23
1b51,Train,7.37
1b52,Train,7.12
1b55,Train,7.4
1b56,Train,6.1
1b57,Train,8.0
1b58,Train,6.59
1b5h,Train,6.01
1b5i,Train,7.05
1b5j,Train,7.43
1b6h,Train,7.82
1b6j,Train,7.92
1b6k,Train,8.74
1b6l,Train,8.3
1b6m,Train,8.4
1b6p,Train,8.52
1b7h,Train,8.02
1b8n,Train,10.52
1b8o,Train,10.64
1b8y,Train,7.85
1b9j,Train,5.96
1bai,Train,7.7
1bap,Train,6.85
1bbz,Train,5.82
1bcd,Train,8.7
1bcj,Train,3.7
1bcu,Test,3.28
1bdl,Train,5.85
1bdq,Train,6.34
1bdr,Train,6.68
1bgq,Train,8.57
1bhf,Train,4.38
1bhx,Train,6.84
1bju,Train,4.8
1bjv,Train,5.54
1bkj,Train,6.77
1bky,Train,3.84
1bm7,Train,7.52
1bma,Train,4.59
1bmm,Train,7.1
1bmn,Train,8.44
1bn1,Train,9.34
1bn3,Train,9.89
1bn4,Train,9.31
1bnm,Train,10.0
1bnn,Train,10.0
1bnq,Train,9.49
1bnt,Train,9.8
1bnu,Train,9.7
1bnv,Train,8.77
1bnw,Train,9.08
1bp0,Train,5.4
1bq3,Train,5.4
1bq4,Train,5.22
1br6,Train,3.22
1br8,Train,4.74
1bsk,Train,4.12
1bt6,Train,5.7
1btn,Train,4.4
1bty,Train,4.74
1bux,Train,4.85
1bv7,Train,10.3
1bv9,Train,9.96
1bwa,Train,8.6
1bwb,Train,8.42
1bwn,Train,7.06
1bxo,Train,10.0
1bxq,Train,7.38
1bxr,Train,3.4
1bzc,Test,4.92
1bzh,Train,6.77
1bzj,Train,4.66
1bzy,Train,8.34
1c12,Train,8.72
1c1r,Train,7.63
1c1u,Train,8.25
1c1v,Train,7.64
1c2t,Train,6.59
1c3e,Train,6.59
1c3x,Train,3.68
1c4u,Train,10.37
1c4v,Train,10.8
1c4y,Train,7.92
1c5c,Train,6.96
1c5n,Train,4.7
1c5o,Train,3.49
1c5p,Train,4.68
1c5q,Train,6.36
1c5s,Train,6.0
1c5t,Train,4.1
1c5x,Train,6.68
1c5y,Train,4.2
1c5z,Test,4.01
1c6y,Train,9.51
1c70,Train,10.3
1c7e,Train,6.3
1c7f,Train,9.52
1c83,Train,4.85
1c84,Train,5.0
1c85,Train,4.64
1c86,Train,4.7
1c87,Train,4.2
1c88,Train,5.29
1caq,Train,7.72
1cbr,Train,9.4
1cbx,Train,6.35
1ce5,Train,4.74
1cea,Train,4.96
1ceb,Train,6.0
1cet,Train,2.89
1cgl,Train,6.87
1ch8,Train,7.0
1ci7,Train,7.05
1cil,Train,9.43
1cim,Train,8.82
1cin,Train,8.73
1ciz,Train,7.44
1cka,Train,5.72
1ckb,Train,5.28
1clu,Train,8.27
1cnw,Train,7.72
1cnx,Train,7.37
1cny,Train,7.85
1cps,Train,6.66
1cr6,Train,8.51
1csh,Train,7.55
1csi,Train,8.8
1csr,Train,7.38
1css,Train,6.1
1ct8,Train,6.52
1ctr,Train,6.0
1ctt,Train,4.52
1ctu,Train,11.92
1cwb,Train,7.89
1czc,Train,2.82
1cze,Train,2.62
1czk,Train,8.82
1czl,Train,9.15
1czo,Train,4.55
1czr,Train,9.0
1d04,Train,4.59
1d09,Train,7.57
1d1p,Train,3.6
1d2e,Train,6.0
1d2s,Train,9.74
1d3d,Train,9.09
1d3p,Train,7.39
1d3q,Train,6.54
1d4h,Train,10.0
1d4i,Train,8.85
1d4j,Train,8.36
1d4k,Train,9.22
1d4l,Train,8.77
1d4p,Train,6.3
1d4t,Train,6.19
1d4w,Train,6.92
1d4y,Train,11.1
1d6n,Train,4.5
1d6s,Train,4.11
1d6v,Train,6.17
1d6w,Train,5.96
1d7i,Train,3.6
1d7j,Train,3.3
1d9i,Train,9.11
1dar,Train,4.96
1db1,Train,9.26
1dbb,Train,9.0
1det,Train,4.3
1df8,Train,9.7
1dfo,Train,6.7
1dg9,Train,2.74
1dgm,Train,5.05
1dhi,Train,7.26
1dhj,Train,6.55
1dif,Train,10.66
1dkd,Train,5.7
1dl7,Train,6.49
1dmb,Train,5.74
1dmp,Train,9.55
1dqn,Train,8.0
1dqx,Train,11.05
1drj,Train,7.4
1drk,Train,6.82
