0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
10gs,0,21,0,0,0,5,19,0,0,0,9,0,0,0,3,9,0,0,0,15,0,0,0,6,8,0,1,0,0,0,0,0,0,0,0,0
11gs,0,29,6,0,0,5,26,0,2,0,8,0,0,0,2,10,0,0,0,16,2,0,0,5,8,0,1,0,0,0,0,0,0,0,0,0
13gs,0,29,0,0,0,5,16,0,0,0,1,0,0,0,0,4,0,0,0,6,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
16pk,0,16,0,2,0,12,23,0,0,0,3,0,1,0,4,9,2,0,0,6,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0
184l,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185l,0,27,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
186l,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
187l,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
188l,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1a07,0,17,0,0,0,0,5,0,0,0,8,0,0,0,1,2,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1a08,0,17,0,7,0,0,16,0,0,0,4,0,0,0,0,11,3,0,0,7,0,3,0,1,2,0,0,0,1,0,1,0,0,0,0,0
1a0q,0,33,0,0,0,1,15,1,0,0,8,0,0,0,1,9,3,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1a1b,0,17,0,0,0,0,15,0,0,0,11,0,0,0,1,11,3,0,0,9,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0
1a1c,0,20,0,0,0,0,15,0,0,0,10,0,0,0,1,11,3,0,0,10,0,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0
1a1e,0,15,0,0,0,0,14,0,0,0,12,0,0,0,1,11,3,0,0,9,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0
1a28,0,16,0,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,7,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0
1a30,0,10,0,0,0,3,25,0,0,0,4,0,0,0,0,6,0,0,0,16,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0
1a3e,0,20,0,0,0,0,8,0,0,0,5,0,0,0,0,4,0,0,0,11,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
1a42,0,12,0,0,0,3,16,0,5,0,1,0,0,0,4,4,0,3,0,6,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1a4h,0,19,0,0,0,3,15,0,0,0,3,0,0,0,0,6,0,0,0,9,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0
1a4k,0,31,0,0,0,3,4,0,0,0,7,0,0,0,0,3,0,0,0,8,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
1a4r,0,13,0,0,0,17,26,2,0,0,5,0,0,0,3,17,3,0,0,5,0,0,0,5,4,0,0,0,2,0,0,0,0,2,0,0
1a4w,0,20,0,0,0,11,6,0,1,0,5,0,0,0,3,4,0,0,0,14,0,0,0,8,2,0,1,0,1,0,0,0,0,0,0,0
1a50,0,22,0,3,0,4,21,0,0,0,0,0,0,0,0,10,4,0,0,7,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0
1a52,0,18,0,0,0,0,8,0,0,0,2,0,0,0,0,3,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1a5h,0,40,0,0,0,15,3,0,0,0,4,0,0,0,1,1,0,0,0,18,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0
1a69,0,14,0,0,0,12,15,0,0,0,5,0,0,0,2,5,0,0,0,10,0,0,0,7,8,0,0,0,3,0,0,0,1,0,0,0
1a8i,0,3,0,0,0,4,27,0,0,0,6,0,0,0,1,12,0,0,0,7,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0
1a8t,0,24,0,0,0,10,4,0,0,0,12,0,0,0,10,2,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
1a94,0,24,0,0,0,8,27,0,0,0,5,0,0,0,0,6,0,0,0,31,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
1a99,0,16,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1a9m,0,19,0,0,0,8,18,0,0,0,7,0,0,0,4,5,0,0,0,15,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0
1a9q,0,9,0,0,0,9,3,0,0,0,3,0,0,0,1,1,0,0,0,7,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0
1aaq,0,17,0,0,0,4,18,0,0,0,5,0,0,0,0,4,0,0,0,24,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0
1abf,0,6,0,0,0,0,12,0,0,0,13,0,0,0,0,10,0,0,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0
1add,0,26,0,0,0,14,13,0,0,0,6,0,0,0,4,2,0,0,0,11,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0
1adl,0,15,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1ado,0,5,0,0,0,0,19,0,0,0,2,0,0,0,0,13,2,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
1af2,0,17,0,0,0,4,34,0,0,0,8,0,0,0,2,8,0,0,0,7,0,0,0,2,6,0,0,0,0,0,0,0,0,2,0,0
1afk,0,14,0,0,0,14,21,0,0,0,5,0,0,0,6,12,5,0,0,6,0,0,0,5,3,0,0,0,0,0,0,0,1,0,0,0
1afl,0,15,0,0,0,17,19,2,0,0,6,0,0,0,7,14,5,0,0,7,0,0,0,6,7,1,0,0,0,0,0,0,1,0,0,0
1ag9,0,41,0,0,0,18,50,3,0,0,7,0,0,0,3,14,4,0,0,14,0,0,0,5,15,2,0,0,0,0,0,0,0,0,0,0
1agm,0,24,0,0,0,2,34,0,0,0,3,0,0,0,0,10,0,0,0,20,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0
1ahx,0,14,0,0,0,0,11,0,0,0,6,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ahy,0,2,0,0,0,0,18,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1ai4,0,11,0,0,0,0,9,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0
1ai5,0,13,0,0,0,3,11,0,0,0,2,0,0,0,0,3,0,0,0,4,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0
1ai6,0,21,0,0,0,0,13,0,0,0,8,0,0,0,0,3,0,0,0,7,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
1ai7,0,21,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1aid,0,12,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1aj6,0,20,0,0,0,3,15,0,0,0,9,0,0,0,1,3,0,0,0,5,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0
1aj7,0,26,0,0,0,1,19,1,0,0,13,0,0,0,0,7,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1ajn,0,13,0,0,0,1,11,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1ajp,0,16,0,0,0,0,12,0,0,0,6,0,0,0,0,3,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
1ajq,0,16,0,0,0,0,7,0,4,0,5,0,0,0,0,3,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1ajv,0,46,0,0,0,0,26,0,1,0,9,0,0,0,0,5,0,1,0,23,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
1ajx,0,34,0,0,0,0,18,0,0,0,7,0,0,0,0,5,0,0,0,19,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
1akq,0,41,0,0,0,16,43,1,0,0,2,0,0,0,3,15,4,0,0,16,0,0,0,4,12,3,0,0,0,0,0,0,0,0,0,0
1akr,0,37,0,0,0,20,46,2,0,0,6,0,0,0,2,15,4,0,0,15,0,0,0,5,15,4,0,0,0,0,0,0,0,0,0,0
1akt,0,40,0,0,0,21,46,2,0,0,6,0,0,0,2,14,4,0,0,17,0,0,0,5,14,4,0,0,0,0,0,0,0,0,0,0
1aku,0,25,0,0,0,14,40,1,0,0,3,0,0,0,3,15,4,0,0,11,0,0,0,6,16,3,0,0,0,0,0,0,0,0,0,0
1akv,0,43,0,0,0,19,49,2,0,0,5,0,0,0,4,15,4,0,0,20,0,0,0,6,18,4,0,0,0,0,0,0,0,0,0,0
1akw,0,36,0,0,0,16,45,2,0,0,6,0,0,0,2,13,4,0,0,15,0,0,0,4,14,3,0,0,0,0,0,0,0,0,0,0
1al7,0,22,0,0,0,5,6,0,1,0,6,0,0,0,2,7,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1al8,0,16,0,0,0,1,10,0,0,0,4,0,0,0,1,6,0,0,0,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
1alw,0,10,0,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1amk,0,1,0,0,0,0,23,1,0,0,4,0,0,0,0,13,4,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1amw,0,5,0,0,0,4,16,2,0,0,1,0,0,0,1,8,1,0,0,3,0,0,0,2,8,2,0,0,2,0,0,0,1,0,0,0
1anf,0,14,0,0,0,0,29,0,0,0,6,0,0,0,0,11,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
1ao0,0,14,0,0,0,10,21,0,0,0,7,0,0,0,3,14,2,0,0,5,0,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0
1apb,0,7,0,0,0,0,12,0,0,0,10,0,0,0,0,10,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1apv,0,17,0,3,0,5,24,0,0,0,1,0,0,0,0,5,0,0,0,30,0,4,0,5,14,0,0,0,0,0,0,0,0,0,0,0
1apw,0,16,0,3,0,6,19,0,0,0,1,0,0,0,0,4,0,0,0,29,0,4,0,5,9,0,0,0,0,0,0,0,0,0,0,0
1aqc,0,47,0,0,0,11,19,0,0,0,6,0,0,0,0,8,0,0,0,20,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
1aqi,0,11,0,0,0,20,15,0,0,0,7,0,0,0,3,3,0,0,0,14,0,0,0,5,6,0,1,0,0,0,0,0,0,0,0,0
1aqj,0,19,0,0,0,22,13,0,0,0,3,0,0,0,4,1,0,0,0,14,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0
1at5,0,10,0,0,0,2,14,0,0,0,7,0,0,0,0,4,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1at6,0,14,0,0,0,1,15,0,0,0,4,0,0,0,0,6,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1atl,0,15,0,0,0,0,15,0,3,0,13,0,0,0,0,8,0,1,0,18,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0
1atr,0,18,0,0,0,14,34,0,0,0,7,0,0,0,4,17,4,0,0,8,0,0,0,6,7,1,0,0,0,0,0,0,0,0,0,0
1avn,0,2,0,0,0,2,0,0,0,0,4,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1avp,0,29,0,0,0,12,29,0,2,0,5,0,0,0,0,9,0,0,0,36,0,0,0,14,10,0,0,0,3,0,0,0,0,0,0,1
1awi,0,53,0,0,0,0,13,0,0,0,15,0,0,0,0,7,0,0,0,14,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0
1ax0,0,10,0,0,0,0,17,0,0,0,4,0,0,0,1,6,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1ax1,0,12,0,0,0,0,22,0,0,0,3,0,0,0,0,9,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1ax2,0,13,0,0,0,1,20,0,0,0,4,0,0,0,1,8,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1axr,0,7,0,0,0,12,16,0,0,0,4,0,0,0,7,6,0,0,0,9,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0
1axs,0,55,0,0,0,0,5,0,0,0,8,0,0,0,0,2,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1axz,0,11,0,0,0,0,15,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1azl,0,41,0,0,0,19,46,1,0,0,7,0,0,0,2,13,4,0,0,16,0,0,0,5,14,4,0,0,0,0,0,0,0,0,0,0
1azm,0,5,0,0,0,12,10,0,1,0,0,0,0,0,8,3,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1azx,0,5,0,0,0,0,66,0,5,0,13,0,0,0,0,39,0,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1b05,0,19,0,0,0,20,21,0,2,0,3,0,0,0,0,7,0,0,0,24,0,0,0,12,2,0,1,0,2,0,0,0,0,0,0,0
1b0h,0,41,0,0,0,20,18,0,0,0,9,0,0,0,1,6,0,0,0,36,0,0,0,12,2,0,0,0,2,0,0,0,0,0,0,0
1b11,0,13,0,0,0,1,13,0,0,0,3,0,0,0,0,2,0,0,0,17,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0
1b1h,0,39,0,0,0,19,19,0,0,0,10,0,0,0,0,7,0,0,0,29,0,0,0,12,2,0,0,0,2,0,0,0,0,0,0,0
1b2h,0,21,0,0,0,20,19,0,0,0,5,0,0,0,2,7,0,0,0,26,0,0,0,16,3,0,0,0,2,0,0,0,0,0,0,0
1b32,0,21,0,0,0,19,19,0,2,0,4,0,0,0,1,7,0,1,0,29,0,0,0,12,2,0,0,0,2,0,0,0,0,0,0,0
1b38,0,13,0,0,0,10,28,4,0,0,2,0,0,0,1,11,3,0,0,3,0,0,0,4,13,1,0,0,0,0,0,0,0,0,0,0
1b39,0,13,0,0,0,10,29,3,0,0,1,0,0,0,1,10,3,0,0,3,0,0,0,4,14,2,0,0,0,0,0,0,0,0,0,0
1b3f,0,25,0,0,0,23,18,0,0,0,3,0,0,0,2,6,0,0,0,28,0,0,0,16,2,0,0,0,1,0,0,0,0,0,0,0
1b3g,0,23,0,0,0,16,20,0,0,0,5,0,0,0,1,7,0,0,0,26,0,0,0,13,2,0,0,0,2,0,0,0,0,0,0,0
1b3h,0,23,0,0,0,16,19,0,0,0,7,0,0,0,1,7,0,0,0,29,0,0,0,12,2,0,0,0,2,0,0,0,0,0,0,0
1b3l,0,14,0,0,0,16,17,0,0,0,2,0,0,0,1,7,0,0,0,21,0,0,0,13,2,0,0,0,2,0,0,0,0,0,0,0
1b40,0,31,0,0,0,19,20,0,0,0,5,0,0,0,1,7,0,0,0,31,0,0,0,12,3,0,0,0,1,0,0,0,0,0,0,0
1b42,0,29,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1b46,0,23,0,0,0,18,19,0,0,0,2,0,0,0,2,7,0,0,0,24,0,0,0,12,2,0,0,0,2,0,0,0,0,0,0,0
1b4d,0,5,0,0,0,4,31,0,0,0,5,0,0,0,0,10,0,0,0,7,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0
1b4h,0,19,0,0,0,21,19,0,0,0,3,0,0,0,4,7,0,0,0,24,0,0,0,14,3,0,0,0,2,0,0,0,0,0,0,0
1b4z,0,22,0,0,0,19,25,0,0,0,2,0,0,0,1,9,0,0,0,24,0,0,0,12,5,0,0,0,2,0,0,0,0,0,0,0
