PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,699,0,0,0,91,175,0,41,0,138,0,0,0,21,53,0,11,0,146,0,0,0,22,54,0,6,0,0,0,0,0,1,1,0,0
11gs,0,688,81,0,0,97,269,0,41,0,152,16,0,0,21,65,0,10,0,150,19,0,0,25,71,0,7,0,0,0,0,0,1,2,0,1
13gs,0,490,0,0,0,113,142,0,33,0,101,0,0,0,17,39,0,8,0,95,0,0,0,19,34,0,7,0,0,0,0,0,0,2,0,0
16pk,0,440,0,67,0,231,302,76,0,0,137,0,31,0,59,118,30,0,0,151,0,22,0,73,105,26,0,0,1,0,0,0,1,0,0,0
184l,0,557,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
185l,0,452,0,0,0,60,0,0,0,0,70,0,0,0,7,0,0,0,0,80,0,0,0,9,0,0,0,0,7,0,0,0,1,0,0,0
186l,0,582,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
187l,0,469,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
188l,0,460,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
1a07,0,407,0,0,0,42,78,0,0,0,142,0,0,0,14,27,0,0,0,100,0,0,0,8,22,0,0,0,11,0,0,0,0,2,0,0
1a08,0,479,0,86,0,40,168,38,0,0,167,0,34,0,13,71,15,0,0,112,0,28,0,7,58,12,0,0,11,0,2,0,0,5,1,0
1a0q,0,609,0,0,0,26,180,36,0,0,149,0,0,0,9,50,10,0,0,105,0,0,0,7,35,6,0,0,0,0,0,0,0,0,0,0
1a1b,0,458,0,0,0,43,224,40,0,0,153,0,0,0,15,93,15,0,0,112,0,0,0,8,74,14,0,0,10,0,0,0,0,5,1,0
1a1c,0,507,0,0,0,39,223,38,0,0,166,0,0,0,14,92,15,0,0,126,0,0,0,6,72,15,0,0,10,0,0,0,0,6,1,0
1a1e,0,475,0,0,0,42,220,39,0,0,159,0,0,0,15,92,15,0,0,118,0,0,0,7,76,12,0,0,10,0,0,0,0,6,1,0
1a28,0,993,0,0,0,0,100,0,0,0,154,0,0,0,0,20,0,0,0,168,0,0,0,0,21,0,0,0,75,0,0,0,0,4,0,0
1a30,0,532,0,0,0,90,269,0,0,0,129,0,0,0,23,65,0,0,0,157,0,0,0,34,87,0,0,0,0,0,0,0,0,0,0,0
1a3e,0,795,0,0,0,89,182,0,0,0,200,0,0,0,23,48,0,0,0,165,0,0,0,19,55,0,0,0,13,0,0,0,1,2,0,0
1a42,0,380,0,0,0,103,207,0,129,0,105,0,0,0,27,40,0,26,0,74,0,0,0,25,42,0,23,0,1,0,0,0,0,0,0,0
1a4h,0,707,0,0,0,74,234,0,0,0,175,0,0,0,22,57,0,0,0,228,0,0,0,28,77,0,0,0,19,0,0,0,1,5,0,0
1a4k,0,727,0,0,0,88,144,0,0,0,222,0,0,0,25,51,0,0,0,171,0,0,0,24,34,0,0,0,0,0,0,0,0,0,0,0
1a4r,0,316,0,0,0,220,311,63,0,0,73,0,0,0,54,91,19,0,0,86,0,0,0,68,93,24,0,0,11,0,0,0,4,11,2,0
1a4w,0,857,0,0,0,248,93,0,33,0,183,0,0,0,70,28,0,10,0,205,0,0,0,82,27,0,10,0,14,0,0,0,8,3,0,0
1a50,0,593,0,47,0,45,205,50,0,0,75,0,4,0,7,61,15,0,0,118,0,9,0,9,68,17,0,0,0,0,0,0,0,0,0,0
1a52,0,828,0,0,0,0,90,0,0,0,130,0,0,0,0,23,0,0,0,140,0,0,0,0,21,0,0,0,34,0,0,0,0,3,0,0
1a5h,0,797,0,0,0,183,37,0,0,0,232,0,0,0,50,10,0,0,0,238,0,0,0,58,8,0,0,0,18,0,0,0,5,1,0,0
1a69,0,408,0,0,0,160,208,0,0,0,136,0,0,0,53,74,0,0,0,115,0,0,0,56,54,0,0,0,23,0,0,0,6,10,0,0
1a8i,0,320,0,0,0,73,279,0,0,0,107,0,0,0,22,92,0,0,0,116,0,0,0,26,96,0,0,0,0,0,0,0,0,0,0,0
1a8t,0,796,0,0,0,195,56,0,0,0,233,0,0,0,71,23,0,0,0,192,0,0,0,56,21,0,0,0,8,0,0,0,4,0,0,0
1a94,0,1201,0,0,0,283,272,0,0,0,313,0,0,0,79,76,0,0,0,375,0,0,0,91,100,0,0,0,0,0,0,0,0,0,0,0
1a99,0,233,0,0,0,115,0,0,0,0,39,0,0,0,17,0,0,0,0,69,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
1a9m,0,993,0,0,0,230,198,0,0,0,265,0,0,0,69,61,0,0,0,266,0,0,0,67,66,0,0,0,0,0,0,0,0,0,0,0
1a9q,0,215,0,0,0,171,45,0,0,0,54,0,0,0,42,14,0,0,0,60,0,0,0,51,13,0,0,0,6,0,0,0,5,1,0,0
1aaq,0,956,0,0,0,155,207,0,0,0,240,0,0,0,42,58,0,0,0,293,0,0,0,60,72,0,0,0,0,0,0,0,0,0,0,0
1abf,0,303,0,0,0,0,249,0,0,0,76,0,0,0,0,63,0,0,0,90,0,0,0,0,74,0,0,0,17,0,0,0,0,10,0,0
1add,0,533,0,0,0,198,179,0,0,0,116,0,0,0,42,37,0,0,0,129,0,0,0,48,45,0,0,0,16,0,0,0,5,8,0,0
1adl,0,698,0,0,0,0,77,0,0,0,184,0,0,0,0,17,0,0,0,168,0,0,0,0,11,0,0,0,26,0,0,0,0,4,0,0
1ado,0,78,0,0,0,0,219,40,0,0,44,0,0,0,0,84,15,0,0,34,0,0,0,0,71,14,0,0,0,0,0,0,0,0,0,0
1af2,0,494,0,0,0,111,326,0,0,0,117,0,0,0,25,83,0,0,0,111,0,0,0,27,82,0,0,0,13,0,0,0,4,7,0,0
1afk,0,260,0,0,0,156,278,68,0,0,101,0,0,0,62,98,22,0,0,78,0,0,0,59,69,16,0,0,10,0,0,0,9,0,0,0
1afl,0,261,0,0,0,157,293,71,0,0,97,0,0,0,63,107,26,0,0,86,0,0,0,57,76,17,0,0,10,0,0,0,10,0,0,0
1ag9,0,731,0,0,0,220,429,44,0,0,159,0,0,0,54,117,14,0,0,200,0,0,0,65,150,16,0,0,5,0,0,0,2,9,1,0
1agm,0,849,0,0,0,47,506,0,0,0,158,0,0,0,11,111,0,0,0,209,0,0,0,13,145,0,0,0,0,0,0,0,0,0,0,0
1ahx,0,402,0,0,0,0,98,0,0,0,87,0,0,0,0,21,0,0,0,75,0,0,0,0,15,0,0,0,1,0,0,0,0,1,0,0
1ahy,0,190,0,0,0,0,190,0,0,0,47,0,0,0,0,54,0,0,0,27,0,0,0,0,34,0,0,0,2,0,0,0,0,1,0,0
1ai4,0,374,0,0,0,0,185,0,0,0,67,0,0,0,0,41,0,0,0,90,0,0,0,0,49,0,0,0,7,0,0,0,0,2,0,0
1ai5,0,373,0,0,0,52,186,0,0,0,64,0,0,0,11,39,0,0,0,94,0,0,0,13,47,0,0,0,7,0,0,0,1,1,0,0
1ai6,0,416,0,0,0,0,157,0,0,0,83,0,0,0,0,34,0,0,0,99,0,0,0,0,36,0,0,0,7,0,0,0,0,1,0,0
1ai7,0,321,0,0,0,0,63,0,0,0,58,0,0,0,0,9,0,0,0,79,0,0,0,0,12,0,0,0,6,0,0,0,0,1,0,0
1aid,0,653,45,39,0,15,20,0,55,0,130,10,5,0,4,1,0,11,0,139,11,7,0,4,5,0,19,0,0,0,0,0,0,0,0,0
1aj6,0,554,0,0,0,53,243,0,0,0,164,0,0,0,19,80,0,0,0,131,0,0,0,15,71,0,0,0,1,0,0,0,1,2,0,0
1aj7,0,499,0,0,0,57,306,52,0,0,118,0,0,0,14,78,11,0,0,78,0,0,0,9,57,9,0,0,0,0,0,0,0,0,0,0
1ajn,0,373,0,0,0,54,189,0,0,0,72,0,0,0,10,34,0,0,0,90,0,0,0,12,46,0,0,0,7,0,0,0,1,2,0,0
1ajp,0,376,0,0,0,0,181,0,0,0,69,0,0,0,0,39,0,0,0,92,0,0,0,0,47,0,0,0,7,0,0,0,0,2,0,0
