Scoring Function,Distance Cutoff,Fold,RMSE,PEARSON
ELEMENTS-RF,4.0,0,1.7680727023270677,0.4996588482702604
ELEMENTS-RF,4.0,1,1.5521149046394866,0.5538852107531098
ELEMENTS-RF,4.0,2,1.5556446391160699,0.5777560164339304
ELEMENTS-RF,4.0,3,1.5722612450350038,0.5445850347759951
ELEMENTS-RF,4.0,4,1.4419787085773594,0.5619055273067511
ELEMENTS-RF,4.0,5,1.6127131110858974,0.547281085597037
ELEMENTS-RF,4.0,6,1.5140680484955271,0.5674326112173125
ELEMENTS-RF,4.0,7,1.58678878094557,0.5872568749772713
ELEMENTS-RF,4.0,8,1.5092814194419737,0.5734549846765037
ELEMENTS-RF,4.0,9,1.4622429577925833,0.5308831231790407
ELEMENTS-RF,4.0,Test,1.6332126880305704,0.6948992878419915
ELEMENTS-RF,4.5,0,1.6879024169831491,0.562282987056933
ELEMENTS-RF,4.5,1,1.4809694086043557,0.6073572565476983
ELEMENTS-RF,4.5,2,1.4901445876593926,0.6234750917942875
ELEMENTS-RF,4.5,3,1.503815600853502,0.5970634016209749
ELEMENTS-RF,4.5,4,1.4086788772732208,0.5890470676291488
ELEMENTS-RF,4.5,5,1.540878697017484,0.600441075270685
ELEMENTS-RF,4.5,6,1.4488628293556425,0.6157286809289304
ELEMENTS-RF,4.5,7,1.5193040281006276,0.6319888099631195
ELEMENTS-RF,4.5,8,1.444997268683068,0.6203265292947421
ELEMENTS-RF,4.5,9,1.4216168447379691,0.5667350213537421
ELEMENTS-RF,4.5,Test,1.5016331971457555,0.7618008357450776
ELEMENTS-RF,5.0,0,1.649696402103597,0.5888713010018483
ELEMENTS-RF,5.0,1,1.4474054655185262,0.6302105326207015
ELEMENTS-RF,5.0,2,1.4986558851737852,0.6178335809556234
ELEMENTS-RF,5.0,3,1.465072116509987,0.6238717194356288
ELEMENTS-RF,5.0,4,1.3733358341870956,0.6159005150236483
ELEMENTS-RF,5.0,5,1.5319180113410007,0.6065849459007561
ELEMENTS-RF,5.0,6,1.4116014857766626,0.6408168336486274
ELEMENTS-RF,5.0,7,1.4878598770314355,0.6511625966788329
ELEMENTS-RF,5.0,8,1.4123025636479072,0.6421285154642375
ELEMENTS-RF,5.0,9,1.3825892594327551,0.5982873461685744
ELEMENTS-RF,5.0,Test,1.50005956269813,0.7618309206382246
ELEMENTS-RF,5.5,0,1.5964910513089892,0.62307736783451
ELEMENTS-RF,5.5,1,1.4271574047052973,0.6433612557194239
ELEMENTS-RF,5.5,2,1.4743402352002482,0.6337339953722566
ELEMENTS-RF,5.5,3,1.4535501217857003,0.6314943500434926
ELEMENTS-RF,5.5,4,1.3695276574094668,0.6186847446267796
ELEMENTS-RF,5.5,5,1.4933728506908928,0.6319429361449799
ELEMENTS-RF,5.5,6,1.3757287292257885,0.6634906718598045
ELEMENTS-RF,5.5,7,1.4788499092983802,0.6564812007805145
ELEMENTS-RF,5.5,8,1.4018364330499606,0.6488504036823473
ELEMENTS-RF,5.5,9,1.3787352514874984,0.6012671938864721
ELEMENTS-RF,5.5,Test,1.4427443278574734,0.7872773970053313
ELEMENTS-RF,6.0,0,1.6126438081203245,0.6130116831125306
ELEMENTS-RF,6.0,1,1.4341785256881183,0.6388527502187502
ELEMENTS-RF,6.0,2,1.4705047087672538,0.6361824653422117
ELEMENTS-RF,6.0,3,1.4522498644140929,0.6323450430360464
ELEMENTS-RF,6.0,4,1.3462357273835328,0.6352850157687573
ELEMENTS-RF,6.0,5,1.4952694566455915,0.6307338911538068
ELEMENTS-RF,6.0,6,1.3873273071198546,0.6563087883966046
ELEMENTS-RF,6.0,7,1.4547316732880764,0.6703556265053939
ELEMENTS-RF,6.0,8,1.4036802869356009,0.6476748644669442
ELEMENTS-RF,6.0,9,1.3637588571508037,0.6126318011972922
ELEMENTS-RF,6.0,Test,1.4570870640812728,0.7809194152123053
ELEMENTS-RF,6.5,0,1.620630391238277,0.607935173045695
ELEMENTS-RF,6.5,1,1.4258542242207677,0.6441921784954322
ELEMENTS-RF,6.5,2,1.473244037576959,0.6344353866241231
ELEMENTS-RF,6.5,3,1.468937355757344,0.6212800159344557
ELEMENTS-RF,6.5,4,1.3632372613806605,0.6232397606153126
ELEMENTS-RF,6.5,5,1.4868205045017644,0.6360905105982243
ELEMENTS-RF,6.5,6,1.3922629580842558,0.6532101900194887
ELEMENTS-RF,6.5,7,1.4609576499662749,0.6668234044257884
ELEMENTS-RF,6.5,8,1.3894948083472949,0.656625283182771
ELEMENTS-RF,6.5,9,1.3508707624314427,0.6221486587746021
ELEMENTS-RF,6.5,Test,1.420299786066593,0.7987055380821598
ELEMENTS-RF,7.0,0,1.6257433749229329,0.6046495381750409
ELEMENTS-RF,7.0,1,1.4219353059236757,0.6466799397128495
ELEMENTS-RF,7.0,2,1.455616953039028,0.6455389026226458
ELEMENTS-RF,7.0,3,1.4623230146682322,0.6257043679139584
ELEMENTS-RF,7.0,4,1.3484098373725293,0.6337658366747526
ELEMENTS-RF,7.0,5,1.4792640101671886,0.6408179691980838
ELEMENTS-RF,7.0,6,1.3854933272847385,0.6574536456974388
ELEMENTS-RF,7.0,7,1.4659880436805046,0.6639446601050297
ELEMENTS-RF,7.0,8,1.3971567481960203,0.6518174940171223
ELEMENTS-RF,7.0,9,1.3522629589646122,0.6211319819525579
ELEMENTS-RF,7.0,Test,1.4484748663936269,0.7865040953813285
ELEMENTS-RF,7.5,0,1.6178033015443327,0.6097398590723226
ELEMENTS-RF,7.5,1,1.4177959003550744,0.6492899254008588
ELEMENTS-RF,7.5,2,1.4508481892948744,0.6484874650125899
ELEMENTS-RF,7.5,3,1.4495318809379407,0.6341171463161581
ELEMENTS-RF,7.5,4,1.3366066255311482,0.6419410874187061
ELEMENTS-RF,7.5,5,1.4846798157715917,0.6374357668418387
ELEMENTS-RF,7.5,6,1.3737996610241634,0.6646718256323381
ELEMENTS-RF,7.5,7,1.4740268616934955,0.6592974614830353
ELEMENTS-RF,7.5,8,1.3971728083124664,0.6518073513440308
ELEMENTS-RF,7.5,9,1.353778229290756,0.6200223402942054
ELEMENTS-RF,7.5,Test,1.444600705082277,0.787017428681009
ELEMENTS-RF,8.0,0,1.6164371375906852,0.6106089187793683
ELEMENTS-RF,8.0,1,1.4147932101432796,0.6511719024198629
ELEMENTS-RF,8.0,2,1.4635729014706238,0.6405677185086124
ELEMENTS-RF,8.0,3,1.4636074337067713,0.6248492261341059
ELEMENTS-RF,8.0,4,1.3247434071065456,0.6499832396388875
ELEMENTS-RF,8.0,5,1.4903154687226376,0.6338838778224007
ELEMENTS-RF,8.0,6,1.3779119729127631,0.6621493415295996
ELEMENTS-RF,8.0,7,1.4685495003199214,0.6624701894765133
ELEMENTS-RF,8.0,8,1.3968405069307597,0.6520171584630835
